ERI Job Id,Position,Database,Category,No. of Incumbents,Mean,10th Percentile,25th Percentile,Median,75th Percentile,90th Percentile,Rate of Error
867,Maintenance Mechanic,Public Databases,Annual Salary,," 63,318 "," 40,914 "," 49,155 "," 62,509 "," 81,262 "," 92,514 ",
867,Maintenance Mechanic,Public Databases,Incentive/Variable Pay,,  , 703 , 886 ," 1,075 "," 1,338 "," 1,591 ",
867,Maintenance Mechanic,Public Databases,Total Direct Annual Compensation,," 63,318 "," 41,617 "," 50,041 "," 63,584 "," 82,600 "," 94,105 ",
867,Maintenance Mechanic,ERI Assessor Databases,Annual Salary,," 58,460 "," 50,589 "," 53,884 "," 57,634 "," 62,474 "," 66,758 ",
867,Maintenance Mechanic,ERI Assessor Databases,Incentive/Variable Pay,," 1,617 "," 1,408 "," 1,497 "," 1,600 "," 1,733 "," 1,849 ",
867,Maintenance Mechanic,ERI Assessor Databases,Total Direct Annual Compensation,," 60,077 "," 51,997 "," 55,381 "," 59,234 "," 64,207 "," 68,607 ",
867,Maintenance Mechanic,Survey Participant Databases,Annual Salary,," 56,832 "," 25,793 "," 40,701 "," 56,200 "," 87,656 "," 117,910 ",
867,Maintenance Mechanic,Survey Participant Databases,Incentive/Variable Pay,," 3,275 ", 112 ," 1,246 "," 2,424 "," 29,991 "," 56,505 ",
867,Maintenance Mechanic,Survey Participant Databases,Total Direct Annual Compensation,"1,807"," 60,107 "," 25,905 "," 41,947 "," 58,624 "," 117,647 "," 174,415 ",0.6
1202,Quality Control Inspector,Public Databases,Annual Salary,," 57,638 "," 37,994 "," 45,204 "," 56,882 "," 73,194 "," 82,981 ",
1202,Quality Control Inspector,Public Databases,Incentive/Variable Pay,,  , 638 , 794 , 956 ," 1,179 "," 1,394 ",
1202,Quality Control Inspector,Public Databases,Total Direct Annual Compensation,," 57,638 "," 38,632 "," 45,998 "," 57,838 "," 74,373 "," 84,375 ",
1202,Quality Control Inspector,ERI Assessor Databases,Annual Salary,," 50,031 "," 42,235 "," 45,531 "," 49,283 "," 54,125 "," 58,410 ",
1202,Quality Control Inspector,ERI Assessor Databases,Incentive/Variable Pay,," 1,076 ", 916 , 986 ," 1,065 "," 1,168 "," 1,258 ",
1202,Quality Control Inspector,ERI Assessor Databases,Total Direct Annual Compensation,," 51,107 "," 43,151 "," 46,517 "," 50,348 "," 55,293 "," 59,668 ",
1202,Quality Control Inspector,Survey Participant Databases,Annual Salary,," 44,849 "," 25,251 "," 35,224 "," 45,595 "," 69,621 "," 92,730 ",
1202,Quality Control Inspector,Survey Participant Databases,Incentive/Variable Pay,," 2,005 ", 198 , 777 ," 1,379 "," 3,760 "," 6,050 ",
1202,Quality Control Inspector,Survey Participant Databases,Total Direct Annual Compensation,"1,328"," 46,854 "," 25,449 "," 36,001 "," 46,974 "," 73,381 "," 98,780 ",0.8
1218,Business Analyst,Public Databases,Annual Salary,," 94,081 "," 57,356 "," 71,199 "," 92,961 "," 123,037 "," 141,083 ",
1218,Business Analyst,Public Databases,Incentive/Variable Pay,,  ," 2,288 "," 2,985 "," 3,709 "," 4,688 "," 5,629 ",
1218,Business Analyst,Public Databases,Total Direct Annual Compensation,," 94,081 "," 59,644 "," 74,184 "," 96,670 "," 127,725 "," 146,712 ",
1218,Business Analyst,ERI Assessor Databases,Annual Salary,," 100,441 "," 84,151 "," 91,190 "," 99,185 "," 109,544 "," 118,696 ",
1218,Business Analyst,ERI Assessor Databases,Incentive/Variable Pay,," 3,670 "," 3,088 "," 3,345 "," 3,633 "," 4,010 "," 4,343 ",
1218,Business Analyst,ERI Assessor Databases,Total Direct Annual Compensation,," 104,111 "," 87,239 "," 94,535 "," 102,818 "," 113,554 "," 123,039 ",
1218,Business Analyst,Survey Participant Databases,Annual Salary,," 68,604 "," 25,035 "," 44,400 "," 64,533 "," 133,998 "," 200,812 ",
1218,Business Analyst,Survey Participant Databases,Incentive/Variable Pay,," 7,317 ", 643 ," 3,511 "," 6,493 "," 14,304 "," 21,817 ",
1218,Business Analyst,Survey Participant Databases,Total Direct Annual Compensation,955," 75,921 "," 25,678 "," 47,911 "," 71,026 "," 148,302 "," 222,629 ",1.2
1273,Financial Analyst,Public Databases,Annual Salary,," 99,323 "," 60,750 "," 75,318 "," 98,144 "," 129,753 "," 148,717 ",
1273,Financial Analyst,Public Databases,Incentive/Variable Pay,,  ," 2,545 "," 3,314 "," 4,112 "," 5,192 "," 6,231 ",
1273,Financial Analyst,Public Databases,Total Direct Annual Compensation,," 99,323 "," 63,295 "," 78,632 "," 102,256 "," 134,945 "," 154,948 ",
1273,Financial Analyst,ERI Assessor Databases,Annual Salary,," 100,907 "," 84,542 "," 91,615 "," 99,647 "," 110,053 "," 119,248 ",
1273,Financial Analyst,ERI Assessor Databases,Incentive/Variable Pay,," 4,390 "," 3,694 "," 3,999 "," 4,346 "," 4,797 "," 5,194 ",
1273,Financial Analyst,ERI Assessor Databases,Total Direct Annual Compensation,," 105,297 "," 88,236 "," 95,614 "," 103,993 "," 114,850 "," 124,442 ",
1273,Financial Analyst,Survey Participant Databases,Annual Salary,," 77,018 "," 31,143 "," 52,967 "," 75,657 "," 126,871 "," 176,130 ",
1273,Financial Analyst,Survey Participant Databases,Incentive/Variable Pay,," 5,412 ", 515 ," 2,652 "," 4,873 "," 22,078 "," 38,625 ",
1273,Financial Analyst,Survey Participant Databases,Total Direct Annual Compensation,886," 82,430 "," 31,658 "," 55,619 "," 80,530 "," 148,949 "," 214,755 ",0.8
1776,Cable Tester,Public Databases,Annual Salary,," 68,915 "," 44,282 "," 53,352 "," 68,043 "," 88,656 "," 101,024 ",
1776,Cable Tester,Public Databases,Incentive/Variable Pay,," 1,170 ", 783 , 990 ," 1,204 "," 1,502 "," 1,788 ",
1776,Cable Tester,Public Databases,Total Direct Annual Compensation,," 70,085 "," 45,065 "," 54,342 "," 69,247 "," 90,158 "," 102,812 ",1.1
1776,Cable Tester,ERI Assessor Databases,Annual Salary,," 65,022 "," 55,153 "," 59,361 "," 64,131 "," 70,332 "," 75,803 ",
1776,Cable Tester,ERI Assessor Databases,Incentive/Variable Pay,, 962 , 819 , 882 , 953 ," 1,045 "," 1,126 ",
1776,Cable Tester,ERI Assessor Databases,Total Direct Annual Compensation,," 65,984 "," 55,972 "," 60,243 "," 65,084 "," 71,377 "," 76,929 ",
1776,Cable Tester,Survey Participant Databases,Annual Salary,,  ,  ,  ,  ,  ,  ,
1776,Cable Tester,Survey Participant Databases,Incentive/Variable Pay,,  ,  ,  ,  ,  ,  ,
1776,Cable Tester,Survey Participant Databases,Total Direct Annual Compensation,,  ,  ,  ,  ,  ,  ,
1877,Webmaster,Public Databases,Annual Salary,," 94,320 "," 57,459 "," 71,377 "," 93,193 "," 123,344 "," 141,434 ",
1877,Webmaster,Public Databases,Incentive/Variable Pay,,  ," 2,407 "," 3,142 "," 3,905 "," 4,935 "," 5,926 ",
1877,Webmaster,Public Databases,Total Direct Annual Compensation,," 94,320 "," 59,866 "," 74,519 "," 97,098 "," 128,279 "," 147,360 ",
1877,Webmaster,ERI Assessor Databases,Annual Salary,," 102,060 "," 88,572 "," 94,295 "," 100,797 "," 109,215 "," 116,654 ",
1877,Webmaster,ERI Assessor Databases,Incentive/Variable Pay,," 4,831 "," 4,209 "," 4,478 "," 4,783 "," 5,179 "," 5,530 ",
1877,Webmaster,ERI Assessor Databases,Total Direct Annual Compensation,," 106,891 "," 92,781 "," 98,773 "," 105,580 "," 114,394 "," 122,184 ",
1877,Webmaster,Survey Participant Databases,Annual Salary,," 77,331 "," 39,140 "," 54,635 "," 70,746 "," 96,609 "," 121,486 ",
1877,Webmaster,Survey Participant Databases,Incentive/Variable Pay,," 5,429 "," 3,296 "," 3,372 "," 3,451 "," 10,632 "," 17,538 ",
1877,Webmaster,Survey Participant Databases,Total Direct Annual Compensation,14," 82,760 "," 42,436 "," 58,007 "," 74,197 "," 107,241 "," 139,024 ",6.6
1879,Programmer Analyst,Public Databases,Annual Salary,," 105,405 "," 63,967 "," 79,620 "," 104,160 "," 137,860 "," 158,079 ",
1879,Programmer Analyst,Public Databases,Incentive/Variable Pay,,  ," 2,686 "," 3,514 "," 4,375 "," 5,529 "," 6,639 ",
1879,Programmer Analyst,Public Databases,Total Direct Annual Compensation,," 105,405 "," 66,653 "," 83,134 "," 108,535 "," 143,389 "," 164,718 ",
1879,Programmer Analyst,ERI Assessor Databases,Annual Salary,," 107,842 "," 89,301 "," 97,359 "," 106,510 "," 118,369 "," 128,845 ",
1879,Programmer Analyst,ERI Assessor Databases,Incentive/Variable Pay,," 4,036 "," 3,357 "," 3,656 "," 3,996 "," 4,438 "," 4,827 ",
1879,Programmer Analyst,ERI Assessor Databases,Total Direct Annual Compensation,," 111,878 "," 92,658 "," 101,015 "," 110,506 "," 122,807 "," 133,672 ",
1879,Programmer Analyst,Survey Participant Databases,Annual Salary,," 89,376 "," 33,709 "," 57,825 "," 82,897 "," 120,757 "," 157,171 ",
1879,Programmer Analyst,Survey Participant Databases,Incentive/Variable Pay,," 12,098 ", 103 ," 6,666 "," 13,488 "," 16,724 "," 19,836 ",
1879,Programmer Analyst,Survey Participant Databases,Total Direct Annual Compensation,368," 101,474 "," 33,812 "," 64,491 "," 96,385 "," 137,481 "," 177,007 ",1.7
2076,Theater Manager,Public Databases,Annual Salary,," 74,514 "," 47,578 "," 57,702 "," 73,591 "," 95,885 "," 109,261 ",
2076,Theater Manager,Public Databases,Incentive/Variable Pay,,  ," 1,798 "," 2,281 "," 2,782 "," 3,469 "," 4,130 ",
2076,Theater Manager,Public Databases,Total Direct Annual Compensation,," 74,514 "," 49,376 "," 59,983 "," 76,373 "," 99,354 "," 113,391 ",
2076,Theater Manager,ERI Assessor Databases,Annual Salary,," 66,975 "," 57,472 "," 61,498 "," 66,061 "," 71,992 "," 77,225 ",
2076,Theater Manager,ERI Assessor Databases,Incentive/Variable Pay,," 2,203 "," 1,898 "," 2,031 "," 2,181 "," 2,377 "," 2,550 ",
2076,Theater Manager,ERI Assessor Databases,Total Direct Annual Compensation,," 69,178 "," 59,370 "," 63,529 "," 68,242 "," 74,369 "," 79,775 ",
2076,Theater Manager,Survey Participant Databases,Annual Salary,,  ,  ,  ,  ,  ,  ,
2076,Theater Manager,Survey Participant Databases,Incentive/Variable Pay,,  ,  ,  ,  ,  ,  ,
2076,Theater Manager,Survey Participant Databases,Total Direct Annual Compensation,,  ,  ,  ,  ,  ,  ,
2178,Waiter/Waitress,Public Databases,Annual Salary,," 33,393 "," 23,703 "," 27,375 "," 32,880 "," 39,746 "," 43,866 ",
2178,Waiter/Waitress,Public Databases,Incentive/Variable Pay,,  ," 1,253 "," 1,492 "," 1,739 "," 2,036 "," 2,320 ",
2178,Waiter/Waitress,Public Databases,Total Direct Annual Compensation,," 33,393 "," 24,956 "," 28,867 "," 34,619 "," 41,782 "," 46,186 ",
2178,Waiter/Waitress,ERI Assessor Databases,Annual Salary,," 27,817 "," 23,470 "," 25,260 "," 27,290 "," 29,929 "," 32,257 ",
2178,Waiter/Waitress,ERI Assessor Databases,Incentive/Variable Pay,," 3,379 "," 2,876 "," 3,097 "," 3,346 "," 3,669 "," 3,955 ",
2178,Waiter/Waitress,ERI Assessor Databases,Total Direct Annual Compensation,," 31,196 "," 26,346 "," 28,357 "," 30,636 "," 33,598 "," 36,212 ",
2178,Waiter/Waitress,Survey Participant Databases,Annual Salary,," 12,235 "," 7,284 "," 8,670 "," 10,112 "," 19,316 "," 28,168 ",
2178,Waiter/Waitress,Survey Participant Databases,Incentive/Variable Pay,,  ,  ,  ,  ,  ,  ,
2178,Waiter/Waitress,Survey Participant Databases,Total Direct Annual Compensation,496," 12,235 "," 7,284 "," 8,670 "," 10,112 "," 19,316 "," 28,168 ",1.4
4001,Accountant,Public Databases,Annual Salary,," 72,328 "," 45,184 "," 55,357 "," 71,428 "," 93,907 "," 107,395 ",
4001,Accountant,Public Databases,Incentive/Variable Pay,,  ," 1,581 "," 2,032 "," 2,500 "," 3,142 "," 3,758 ",
4001,Accountant,Public Databases,Total Direct Annual Compensation,," 72,328 "," 46,765 "," 57,389 "," 73,928 "," 97,049 "," 111,153 ",
4001,Accountant,ERI Assessor Databases,Annual Salary,," 82,973 "," 69,451 "," 75,276 "," 81,893 "," 90,460 "," 98,032 ",
4001,Accountant,ERI Assessor Databases,Incentive/Variable Pay,," 3,374 "," 2,839 "," 3,073 "," 3,340 "," 3,686 "," 3,991 ",
4001,Accountant,ERI Assessor Databases,Total Direct Annual Compensation,," 86,347 "," 72,290 "," 78,349 "," 85,233 "," 94,146 "," 102,023 ",
4001,Accountant,Survey Participant Databases,Annual Salary,," 77,235 "," 31,544 "," 55,185 "," 79,763 "," 114,486 "," 147,885 ",
4001,Accountant,Survey Participant Databases,Incentive/Variable Pay,," 4,060 ", 309 ," 2,145 "," 4,054 "," 12,610 "," 20,839 ",
4001,Accountant,Survey Participant Databases,Total Direct Annual Compensation,"2,221"," 81,295 "," 31,853 "," 57,330 "," 83,817 "," 127,096 "," 168,724 ",0.5
4002,Accounting Clerk,Public Databases,Annual Salary,," 46,495 "," 31,018 "," 36,686 "," 45,857 "," 58,535 "," 66,142 ",
4002,Accounting Clerk,Public Databases,Incentive/Variable Pay,,  , 524 , 647 , 775 , 950 ," 1,117 ",
4002,Accounting Clerk,Public Databases,Total Direct Annual Compensation,," 46,495 "," 31,542 "," 37,333 "," 46,632 "," 59,485 "," 67,259 ",
4002,Accounting Clerk,ERI Assessor Databases,Annual Salary,," 46,683 "," 40,432 "," 43,028 "," 45,975 "," 49,797 "," 53,172 ",
4002,Accounting Clerk,ERI Assessor Databases,Incentive/Variable Pay,," 1,041 ", 906 , 965 ," 1,030 "," 1,115 "," 1,190 ",
4002,Accounting Clerk,ERI Assessor Databases,Total Direct Annual Compensation,," 47,724 "," 41,338 "," 43,993 "," 47,005 "," 50,912 "," 54,362 ",
4002,Accounting Clerk,Survey Participant Databases,Annual Salary,," 46,897 "," 21,899 "," 34,291 "," 47,176 "," 77,731 "," 107,120 ",
